id,campaign_id,name,platform,status,objective,campaign_type,budget_type,budget_amount,spend_amount,remaining_budget,impressions,clicks,conversions,revenue,ctr,cpc,cpm,cpa,roas,likes,shares,saves,comments_count,total_engagement,engagement_rate,sentiment_score,overall_sentiment,positive_comments,neutral_comments,negative_comments,video_views,video_completion_rate,profile_visits,website_clicks,is_optimized,optimization_score,target_audience,ad_creative,campaign_settings,start_date,end_date,created_at,updated_at
11,fa_camp_0011,AI-Driven Success Awaits,facebook,active,brand_awareness,image_post,daily,689.13,327.52,308.23,41819,769,105,46892.96,1.84,0.43,7.83,3.12,143.18,3913,228,88,5,4234,10.12,0.37,positive,3,1,1,0,0,230,769,false,0.43,"{""age_range"": {""min"": 24, ""max"": 60}, ""genders"": ""male"", ""locations"": [""Pretoria"", ""Durban"", ""Johannesburg""], ""interests"": [""technology"", ""automation"", ""marketing"", ""business""]}","{""headline"": ""AI-Driven Success Awaits"", ""description"": ""Unlock the potential of AI in your marketing strategy! South African businesses can leverage cutting..."", ""call_to_action"": ""sign_up""}","{""placements"": [""reels"", ""feed""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""cost_cap""}",2025-05-29,,2025-06-15T20:49:06.289261,2025-06-15T20:49:06.289266
12,fa_camp_0012,Elevate Your Brand with AI,facebook,paused,traffic,image_post,daily,6522.68,2811.05,2381.43,32085,1493,78,22532.27,4.65,1.88,87.61,36.04,8.02,3707,171,122,5,4005,12.48,0.16,neutral,2,1,2,12834,0.67,447,1493,true,0.35,"{""age_range"": {""min"": 23, ""max"": 63}, ""genders"": ""all"", ""locations"": [""Cape Town"", ""Pretoria"", ""Durban""], ""interests"": [""automation"", ""technology"", ""marketing""]}","{""headline"": ""Elevate Your Brand with AI"", ""description"": ""Transform your brand's presence in the digital landscape with AI marketing! From personalized ads to..."", ""call_to_action"": ""sign_up""}","{""placements"": [""feed"", ""stories"", ""reels""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""lowest_cost""}",2025-05-28,,2025-06-15T20:49:08.744996,2025-06-15T20:49:08.745001
13,fa_camp_0013,Harness AI for Full-Throttle Growth,facebook,completed,traffic,image_post,daily,4174.68,3379.36,5705.49,46561,1876,154,56348.25,4.03,1.8,72.58,21.94,16.67,5644,355,241,5,6245,13.41,0.31,positive,3,1,1,0,0,562,1876,true,0.45,"{""age_range"": {""min"": 32, ""max"": 48}, ""genders"": ""male"", ""locations"": [""Cape Town"", ""Pretoria"", ""Johannesburg"", ""Durban""], ""interests"": [""automation"", ""AI"", ""business"", ""marketing""]}","{""headline"": ""Harness AI for Full-Throttle Growth"", ""description"": ""Supercharge your marketing with AI innovations! South African companies are tapping into AI to enhan..."", ""call_to_action"": ""sign_up""}","{""placements"": [""feed""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""lowest_cost""}",2025-04-15,,2025-06-15T20:49:11.303708,2025-06-15T20:49:11.303712
14,fa_camp_0014,"Smart Marketing, Smart Choices",facebook,active,engagement,image_post,daily,682.43,465.67,875.23,15118,923,51,15590.13,6.11,0.5,30.8,9.13,33.48,1612,72,80,5,1769,11.7,0.35,positive,3,1,1,6047,0,276,923,true,0.91,"{""age_range"": {""min"": 22, ""max"": 65}, ""genders"": ""male"", ""locations"": [""Johannesburg"", ""Durban"", ""Cape Town"", ""Pretoria""], ""interests"": [""marketing"", ""business"", ""technology"", ""AI""]}","{""headline"": ""Smart Marketing, Smart Choices"", ""description"": ""Make informed marketing decisions with AI! South African businesses can harness the power of AI to g..."", ""call_to_action"": ""contact_us""}","{""placements"": [""reels"", ""stories""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""bid_cap""}",2025-04-17,2025-07-22,2025-06-15T20:49:13.573163,2025-06-15T20:49:13.573167
15,fa_camp_0015,AI: The Future of Marketing,facebook,active,engagement,image_post,daily,7026.68,2390.49,2827.84,36251,2072,233,38710.12,5.72,1.15,65.94,10.26,16.19,2668,209,137,5,3019,8.33,0.19,neutral,2,1,2,14500,0.43,621,2072,false,0.71,"{""age_range"": {""min"": 33, ""max"": 55}, ""genders"": ""male"", ""locations"": [""Durban"", ""Cape Town"", ""Johannesburg""], ""interests"": [""business"", ""automation"", ""technology"", ""marketing"", ""AI""]}","{""headline"": ""AI: The Future of Marketing"", ""description"": ""Step into the future of marketing with AI technology! South African businesses have the opportunity ..."", ""call_to_action"": ""get_quote""}","{""placements"": [""stories""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""bid_cap""}",2025-05-02,,2025-06-15T20:49:19.290072,2025-06-15T20:49:19.290075
16,fa_camp_0016,Unlocking AI Potential in Retail,facebook,active,engagement,live_stream,daily,5578.18,2938.11,4447.67,22106,1416,126,43743.51,6.41,2.07,132.91,23.32,14.89,2463,105,98,5,2671,12.08,0.18,neutral,2,2,1,0,0,424,1416,true,0.53,"{""age_range"": {""min"": 23, ""max"": 53}, ""genders"": ""all"", ""locations"": [""Johannesburg"", ""Pretoria"", ""Cape Town"", ""Durban""], ""interests"": [""marketing"", ""AI"", ""technology"", ""automation""]}","{""headline"": ""Unlocking AI Potential in Retail"", ""description"": ""Join us for a live stream where we explore how South African retail businesses can harness AI market..."", ""call_to_action"": ""contact_us""}","{""placements"": [""reels""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""cost_cap""}",2025-05-09,,2025-06-15T20:49:30.660540,2025-06-15T20:49:30.660544
17,fa_camp_0017,AI-Driven Success in E-commerce,facebook,active,traffic,live_stream,daily,2549.7,1147.14,380.18,50130,3576,319,142732.21,7.13,0.32,22.88,3.6,124.42,3249,355,109,5,3718,7.42,0.16,neutral,2,1,2,20052,0,1072,3576,false,0.38,"{""age_range"": {""min"": 32, ""max"": 47}, ""genders"": ""male"", ""locations"": [""Cape Town"", ""Johannesburg""], ""interests"": [""marketing"", ""technology"", ""business"", ""automation""]}","{""headline"": ""AI-Driven Success in E-commerce"", ""description"": ""Discover how local e-commerce brands are leveraging AI marketing to enhance customer experiences and..."", ""call_to_action"": ""contact_us""}","{""placements"": [""reels"", ""stories""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""cost_cap""}",2025-04-12,,2025-06-15T20:49:33.531979,2025-06-15T20:49:33.531981
18,fa_camp_0018,Transforming Hospitality with AI,facebook,active,traffic,live_stream,daily,2072.88,1459.6,150.33,73997,4799,107,40662.71,6.49,0.3,19.73,13.64,27.86,5024,431,431,5,5891,7.96,0.44,positive,4,0,1,29598,0.74,1439,4799,false,0.53,"{""age_range"": {""min"": 21, ""max"": 56}, ""genders"": ""male"", ""locations"": [""Pretoria"", ""Cape Town"", ""Johannesburg"", ""Durban""], ""interests"": [""business"", ""automation"", ""technology"", ""AI""]}","{""headline"": ""Transforming Hospitality with AI"", ""description"": ""Tune in to our live stream where we highlight successful AI marketing strategies in the South Africa..."", ""call_to_action"": ""contact_us""}","{""placements"": [""stories"", ""feed"", ""reels""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""lowest_cost""}",2025-05-07,,2025-06-15T20:49:36.542353,2025-06-15T20:49:36.542357
19,fa_camp_0019,Financial Services: The AI Advantage,facebook,active,engagement,live_stream,daily,8147.69,3576.22,1384.49,9051,295,19,9384.92,3.26,12.12,395.12,188.22,2.62,755,74,27,5,861,9.51,0.39,positive,4,0,1,0,0,88,295,false,0.95,"{""age_range"": {""min"": 25, ""max"": 51}, ""genders"": ""all"", ""locations"": [""Durban"", ""Johannesburg"", ""Cape Town""], ""interests"": [""AI"", ""automation"", ""marketing"", ""business""]}","{""headline"": ""Financial Services: The AI Advantage"", ""description"": ""Join our live stream as we delve into how financial services in South Africa are leveraging AI marke..."", ""call_to_action"": ""learn_more""}","{""placements"": [""stories"", ""feed"", ""reels""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""bid_cap""}",2025-06-13,,2025-06-15T20:49:39.361239,2025-06-15T20:49:39.361243
20,fa_camp_0020,Empowering Small Businesses with AI,facebook,paused,traffic,live_stream,daily,4775.61,2853.28,1152.86,60193,1243,178,53781.59,2.07,2.3,47.4,16.03,18.85,5612,324,227,5,6168,10.25,0.26,positive,2,2,1,0,0.36,372,1243,true,0.93,"{""age_range"": {""min"": 32, ""max"": 46}, ""genders"": ""female"", ""locations"": [""Cape Town"", ""Johannesburg""], ""interests"": [""AI"", ""automation"", ""business"", ""marketing""]}","{""headline"": ""Empowering Small Businesses with AI"", ""description"": ""In this live stream, we'll share inspiring stories from small businesses across South Africa that ha..."", ""call_to_action"": ""learn_more""}","{""placements"": [""stories"", ""feed"", ""reels""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""bid_cap""}",2025-05-24,2025-07-25,2025-06-15T20:49:42.329962,2025-06-15T20:49:42.329965
21,fa_camp_0021,Smart Strategy Session,facebook,paused,engagement,live_stream,daily,847.19,291.38,232.93,34997,1592,181,33893.83,4.55,0.18,8.33,1.61,116.32,2894,277,153,5,3329,9.51,0.47,positive,4,1,0,13998,0.39,477,1592,false,0.64,"{""age_range"": {""min"": 34, ""max"": 46}, ""genders"": ""female"", ""locations"": [""Durban"", ""Johannesburg""], ""interests"": [""business"", ""technology"", ""AI""]}","{""headline"": ""Smart Strategy Session"", ""description"": ""Join us for a live stream where we unveil how South African businesses can leverage AI to craft inte..."", ""call_to_action"": ""sign_up""}","{""placements"": [""reels""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""cost_cap""}",2025-05-25,,2025-06-15T20:49:52.284028,2025-06-15T20:49:52.284030
22,fa_camp_0022,AI Insights for Entrepreneurs,facebook,active,engagement,live_stream,daily,9095.87,3203.48,2702.6,67271,791,29,8006.15,1.18,4.05,47.62,110.46,2.5,6087,272,324,5,6688,9.94,0.37,positive,3,1,1,26908,0,237,791,false,0.88,"{""age_range"": {""min"": 31, ""max"": 54}, ""genders"": ""all"", ""locations"": [""Pretoria"", ""Durban"", ""Johannesburg"", ""Cape Town""], ""interests"": [""business"", ""technology"", ""automation"", ""AI""]}","{""headline"": ""AI Insights for Entrepreneurs"", ""description"": ""Tune in to our live stream designed specifically for South African entrepreneurs. Learn how AI-drive..."", ""call_to_action"": ""sign_up""}","{""placements"": [""stories""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""lowest_cost""}",2025-05-14,2025-06-21,2025-06-15T20:49:55.440284,2025-06-15T20:49:55.440290
23,fa_camp_0023,Maximizing Marketing Efficiency,facebook,active,brand_awareness,live_stream,daily,4205.97,2889.5,5630.88,43934,3297,443,110570.22,7.5,0.88,65.77,6.52,38.27,3670,326,237,5,4238,9.65,0.3,positive,3,1,1,0,0.78,989,3297,true,0.59,"{""age_range"": {""min"": 22, ""max"": 55}, ""genders"": ""female"", ""locations"": [""Pretoria"", ""Durban"", ""Cape Town""], ""interests"": [""marketing"", ""automation"", ""AI"", ""business"", ""technology""]}","{""headline"": ""Maximizing Marketing Efficiency"", ""description"": ""Join our live stream to discover the power of AI in maximizing your marketing efficiency. We\u2019ll disc..."", ""call_to_action"": ""sign_up""}","{""placements"": [""feed""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""lowest_cost""}",2025-03-29,2025-06-28,2025-06-15T20:49:57.793671,2025-06-15T20:49:57.793676
24,fa_camp_0024,Future-Proof Your Marketing,facebook,active,conversions,live_stream,daily,6503.09,2698.19,3170.77,72697,1108,60,3069.16,1.52,2.44,37.12,44.97,1.14,7485,623,212,5,8325,11.45,0.41,positive,3,1,1,0,0,332,1108,false,0.65,"{""age_range"": {""min"": 22, ""max"": 52}, ""genders"": ""male"", ""locations"": [""Pretoria"", ""Cape Town""], ""interests"": [""automation"", ""business"", ""AI"", ""marketing"", ""technology""]}","{""headline"": ""Future-Proof Your Marketing"", ""description"": ""Don\u2019t get left behind! Join our live stream to learn how AI can future-proof your marketing strategi..."", ""call_to_action"": ""sign_up""}","{""placements"": [""feed"", ""stories""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""cost_cap""}",2025-03-29,2025-07-23,2025-06-15T20:50:01.071822,2025-06-15T20:50:01.071828
25,fa_camp_0025,Data-Driven Decisions,facebook,paused,traffic,live_stream,daily,3132.99,1473.63,2284.82,59792,1775,178,56894.33,2.97,0.83,24.65,8.28,38.61,4426,201,182,5,4814,8.05,0.33,positive,2,2,1,0,0.45,532,1775,false,0.58,"{""age_range"": {""min"": 35, ""max"": 46}, ""genders"": ""female"", ""locations"": [""Johannesburg"", ""Pretoria"", ""Cape Town"", ""Durban""], ""interests"": [""marketing"", ""business"", ""AI"", ""technology"", ""automation""]}","{""headline"": ""Data-Driven Decisions"", ""description"": ""Unlock the potential of data-driven marketing with our live stream event! We\u2019ll showcase how AI can ..."", ""call_to_action"": ""learn_more""}","{""placements"": [""reels"", ""stories""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""bid_cap""}",2025-04-08,,2025-06-15T20:50:04.979334,2025-06-15T20:50:04.979338
26,fa_camp_0026,"Smart Leads, Smart Business",facebook,active,brand_awareness,carousel_post,daily,4538.19,3771.34,3358.08,49702,2869,92,11764.92,5.77,1.31,75.88,40.99,3.12,3546,192,282,5,4025,8.1,0.31,positive,3,1,1,19880,0,860,2869,false,0.93,"{""age_range"": {""min"": 30, ""max"": 58}, ""genders"": ""all"", ""locations"": [""Johannesburg"", ""Durban""], ""interests"": [""business"", ""AI"", ""technology"", ""marketing""]}","{""headline"": ""Smart Leads, Smart Business"", ""description"": ""Unlock the power of AI-driven lead generation to transform your South African business! With advance..."", ""call_to_action"": ""learn_more""}","{""placements"": [""reels""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""lowest_cost""}",2025-05-19,,2025-06-15T20:50:15.203245,2025-06-15T20:50:15.203252
27,fa_camp_0027,AI-Powered Connections,facebook,active,engagement,carousel_post,daily,2902.57,1479.79,878.93,30347,1297,127,62548.41,4.27,1.14,48.76,11.65,42.27,2504,208,146,5,2863,9.43,0.12,neutral,2,1,2,12138,0,389,1297,true,0.51,"{""age_range"": {""min"": 21, ""max"": 60}, ""genders"": ""female"", ""locations"": [""Cape Town"", ""Durban""], ""interests"": [""AI"", ""marketing"", ""technology"", ""business"", ""automation""]}","{""headline"": ""AI-Powered Connections"", ""description"": ""Experience the next level of customer engagement with AI-driven lead generation. Our technology anal..."", ""call_to_action"": ""sign_up""}","{""placements"": [""feed"", ""stories""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""cost_cap""}",2025-03-29,2025-08-04,2025-06-15T20:50:18.376849,2025-06-15T20:50:18.376855
28,fa_camp_0028,Lead Generation Revolution,facebook,active,conversions,carousel_post,daily,3580.34,1237.5,1219.25,53306,959,66,19698.67,1.8,1.29,23.22,18.75,15.92,4467,425,299,5,5196,9.75,0.27,positive,2,2,1,0,0.31,287,959,true,0.79,"{""age_range"": {""min"": 34, ""max"": 52}, ""genders"": ""male"", ""locations"": [""Pretoria"", ""Johannesburg""], ""interests"": [""AI"", ""technology"", ""business"", ""automation"", ""marketing""]}","{""headline"": ""Lead Generation Revolution"", ""description"": ""Join the revolution of AI-driven lead generation tailored for South African businesses. Utilize mach..."", ""call_to_action"": ""get_quote""}","{""placements"": [""reels""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""bid_cap""}",2025-04-09,2025-07-09,2025-06-15T20:50:21.754147,2025-06-15T20:50:21.754156
29,fa_camp_0029,"Targeted Leads, Higher Sales",facebook,active,brand_awareness,carousel_post,daily,2596.67,1895.71,1835.44,48537,2393,330,26847.85,4.93,0.79,39.06,5.74,14.16,5333,221,192,5,5751,11.85,0.33,positive,2,2,1,19414,0,717,2393,true,0.73,"{""age_range"": {""min"": 25, ""max"": 45}, ""genders"": ""male"", ""locations"": [""Cape Town"", ""Johannesburg"", ""Pretoria"", ""Durban""], ""interests"": [""marketing"", ""business"", ""technology"", ""AI""]}","{""headline"": ""Targeted Leads, Higher Sales"", ""description"": ""Boost your conversion rates with AI-driven lead generation techniques designed specifically for the ..."", ""call_to_action"": ""learn_more""}","{""placements"": [""stories"", ""feed""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""cost_cap""}",2025-04-17,,2025-06-15T20:50:24.827081,2025-06-15T20:50:24.827087
30,fa_camp_0030,Data-Driven Success,facebook,active,conversions,carousel_post,daily,6647.29,4093.05,1756.67,15852,215,30,10388.83,1.36,19.04,258.2,136.44,2.54,1262,104,50,5,1421,8.96,0.31,positive,2,2,1,0,0,64,215,false,0.37,"{""age_range"": {""min"": 22, ""max"": 65}, ""genders"": ""male"", ""locations"": [""Durban"", ""Pretoria"", ""Cape Town""], ""interests"": [""marketing"", ""automation"", ""AI"", ""technology"", ""business""]}","{""headline"": ""Data-Driven Success"", ""description"": ""Transform your South African business with AI-driven lead generation that focuses on data and result..."", ""call_to_action"": ""get_quote""}","{""placements"": [""stories"", ""reels"", ""feed""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""cost_cap""}",2025-04-09,,2025-06-15T20:50:27.898698,2025-06-15T20:50:27.898703
31,fa_camp_0031,Transformative AI Journeys,facebook,active,brand_awareness,testimonial_video,daily,867.59,639.6,1137.49,1692,130,18,5867.22,7.68,4.92,378.01,35.53,9.17,170,9,8,5,192,11.35,0.18,neutral,2,2,1,676,0.33,39,130,true,0.35,"{""age_range"": {""min"": 26, ""max"": 49}, ""genders"": ""male"", ""locations"": [""Johannesburg"", ""Cape Town""], ""interests"": [""technology"", ""business"", ""AI""]}","{""headline"": ""Transformative AI Journeys"", ""description"": ""Discover how local businesses in South Africa are leveraging AI marketing to elevate their strategie..."", ""call_to_action"": ""get_quote""}","{""placements"": [""reels""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""lowest_cost""}",2025-06-02,,2025-06-15T20:50:37.835719,2025-06-15T20:50:37.835723
