id,campaign_id,comment_id,comment_text,sentiment_score,username,likes,replies,created_at
17,fa_camp_0004,comment_743352,Interesting demo! I'm curious to know how it compares to other marketing tools.,0.5,marketingGuru,5,0,2025-05-25T02:34:19.821995
18,fa_camp_0004,comment_290473,I hope this actually delivers on its promises. AI can be hit or miss.,0.2,skepticalUser,8,0,2025-05-31T14:03:59.895691
19,fa_camp_0004,comment_541354,Really excited about the potential of AI in marketing. This could change the game for SMEs!,0.85,futureThinker,11,0,2025-06-14T19:09:20.388994
20,fa_camp_0004,comment_962409,"Looks good, but can it really improve efficiency as claimed? I'll need more evidence.",0.3,cautiousInvestor,0,0,2025-05-28T17:37:38.879484
21,fa_camp_0005,comment_679699,I love how you tailor your solutions to each SME's needs! Can’t wait to see the demo.,0.9,businessgal,26,0,2025-06-06T02:45:53.594927
22,fa_camp_0005,comment_320649,"Interesting concept, but I wonder how it compares to other AI marketing tools.",0.2,curious_user,22,0,2025-06-06T00:25:12.584320
23,fa_camp_0005,comment_285421,Looks promising! I think customization is key for SMEs. Keep it up!,0.85,startupfan,29,1,2025-05-30T01:31:45.943972
24,fa_camp_0005,comment_249051,Not sure this will work for every business type. Seems a bit too generic.,-0.3,doubtful1,6,0,2025-06-14T08:41:52.361202
25,fa_camp_0005,comment_558727,Excited to see how this can help grow my business! Let's see the demo.,0.75,entrepreneurmike,34,0,2025-06-01T01:43:08.706438
26,fa_camp_0006,comment_829804,This AI Marketing Audit sounds like a game changer! Can't wait to see the insights!,0.9,sarah_k,27,0,2025-05-18T20:50:28.567088
27,fa_camp_0006,comment_968430,I'm curious about how it works. Could this really boost my marketing efforts?,0.5,mark_t,18,0,2025-06-11T19:02:37.039418
28,fa_camp_0006,comment_474712,"Sounds interesting, but I’m not sure if AI can fully understand my brand's voice.",0.2,jane_d,12,0,2025-05-25T09:09:00.450822
29,fa_camp_0006,comment_928097,"I’ve tried AI tools before, and they didn’t deliver. Not convinced this will be different.",-0.6,brian_x,20,0,2025-05-20T23:46:44.986823
30,fa_camp_0006,comment_926070,Excited to see what AI can do for my marketing strategy! This audit could help.,0.85,linda_45,20,0,2025-05-27T10:53:27.466331
31,fa_camp_0007,comment_851904,This sounds amazing! Excited to see how it can help my business grow.,0.9,entrepreneur01,12,1,2025-05-27T17:42:17.109216
32,fa_camp_0007,comment_271920,Interesting offer! I might give it a try to see if it fits my needs.,0.5,curiousUser,1,0,2025-06-02T13:49:03.814357
33,fa_camp_0007,comment_348583,"Finally, something for us South African entrepreneurs! Count me in!",0.85,localBizOwner,11,0,2025-05-26T03:00:58.937826
34,fa_camp_0007,comment_900743,I don't know about AI helping my marketing. Sounds too good to be true.,-0.4,skepticalSteve,42,0,2025-06-14T18:52:11.710547
35,fa_camp_0007,comment_746069,Will this truly provide valuable insights? Hope it’s not just a marketing gimmick.,0.2,realistRita,36,0,2025-06-01T04:13:13.260688
36,fa_camp_0008,comment_313708,This sounds amazing! I'd love to see how I can optimize my spending.,0.9,happycustomer,88,3,2025-06-06T08:01:43.039400
37,fa_camp_0008,comment_672807,Interesting approach! I might give this a try.,0.6,curious_one,13,0,2025-05-22T11:56:17.559719
38,fa_camp_0008,comment_273901,Is this really free? Sounds too good to be true.,0.0,skeptical_sam,31,3,2025-05-30T22:00:11.162374
39,fa_camp_0008,comment_690222,I've seen better tools out there; not sure if this will help much.,-0.4,doubter88,76,0,2025-05-30T16:52:51.324045
40,fa_camp_0008,comment_471149,I appreciate the initiative! Let’s see how it goes.,0.7,optimistic_user,0,0,2025-05-20T14:15:31.893080
41,fa_camp_0009,comment_702754,Excited to see how AI can transform our business! Sign me up for the audit!,0.9,businessfan,31,0,2025-05-21T05:01:38.465721
42,fa_camp_0009,comment_201754,"This sounds interesting, but I'm skeptical about AI's effectiveness in marketing.",0.2,curious_one,33,2,2025-05-19T12:14:10.202889
43,fa_camp_0009,comment_777429,I hope this audit will provide real insights. Need to improve my strategy!,0.6,marketer101,38,0,2025-05-18T21:50:23.061647
44,fa_camp_0009,comment_996082,AI is overrated. I prefer traditional methods for marketing.,-0.5,oldschool,3,0,2025-05-23T12:31:41.671880
45,fa_camp_0009,comment_683852,Looking forward to trying this out! AI could be a game changer.,0.7,innovator,18,0,2025-06-09T22:58:57.878177
46,fa_camp_0010,comment_818296,This sounds amazing! I can't wait to see how it can help my business grow.,0.9,happybusiness,27,2,2025-05-25T08:58:20.468685
47,fa_camp_0010,comment_197602,Interesting offer. How does the audit work exactly?,0.0,curious_one,33,0,2025-06-05T23:32:45.908141
48,fa_camp_0010,comment_833509,Been looking for ways to improve my marketing strategy. Excited to try this!,0.85,marketingguru,9,3,2025-05-25T04:15:35.133656
49,fa_camp_0010,comment_333753,Not sure if AI can really help my small business. Skeptical but willing to give it a shot.,-0.2,doubtingthomas,49,3,2025-05-30T08:03:39.594249
50,fa_camp_0010,comment_541015,Free stuff usually comes with strings attached. What's the catch?,-0.4,cautiousconsumer,17,0,2025-06-01T05:16:32.341995
51,fa_camp_0011,comment_884592,This is an exciting opportunity for businesses! Can't wait to see how AI transforms marketing in SA.,0.9,marketingGuru,13,0,2025-06-01T17:35:23.849107
52,fa_camp_0011,comment_829842,"Interesting concept, but how do we start implementing AI effectively?",0.0,curiousCat,0,0,2025-06-06T11:16:50.248698
53,fa_camp_0011,comment_911542,AI is the future of marketing! South African companies need to hop on this trend ASAP.,0.85,techSavvySA,0,0,2025-06-08T04:08:28.577743
54,fa_camp_0011,comment_121392,I'm skeptical about AI's impact on small businesses. It seems complicated.,-0.6,cautiousInvestor,5,0,2025-05-31T16:05:17.524358
55,fa_camp_0011,comment_261439,Seems like it could benefit many sectors. I hope it’s accessible for all types of businesses!,0.7,optimisticEntrepreneur,25,0,2025-06-08T19:19:20.771471
56,fa_camp_0012,comment_256441,This sounds amazing! Can't wait to see how AI can boost my brand's online presence!,0.9,brandlover,21,0,2025-06-03T17:04:08.063547
57,fa_camp_0012,comment_918453,AI marketing is the future! I’m excited to see where this goes.,0.7,techie2023,16,0,2025-06-11T08:49:47.761557
58,fa_camp_0012,comment_346024,"Interesting concept, but I wonder how effective it really is.",0.0,curiousmind,27,0,2025-05-28T23:29:27.556867
59,fa_camp_0012,comment_846087,Not sure about relying on AI for marketing. Human touch matters too!,-0.5,skeptic123,7,0,2025-05-21T06:18:20.538760
60,fa_camp_0012,comment_284670,"Could be useful, but I'm concerned about privacy issues with personalized ads.",-0.3,privacywatcher,31,2,2025-06-07T03:04:21.537827
61,fa_camp_0013,comment_469186,Absolutely thrilled to see South African brands embracing AI! This is the future of marketing.,0.9,happycamper,18,2,2025-06-02T13:57:43.837513
62,fa_camp_0013,comment_398910,Interesting approach! I wonder how effective these AI tools really are for local businesses.,0.3,curiousmind,44,0,2025-05-24T14:47:27.783963
63,fa_camp_0013,comment_494746,"AI is overrated. We need real human connections in marketing, not just algorithms.",-0.6,realist123,9,0,2025-05-20T09:19:39.528384
64,fa_camp_0013,comment_958204,Excited to see how AI will transform marketing strategies across various industries in South Africa!,0.85,marketingmaven,23,0,2025-05-27T17:46:59.142640
65,fa_camp_0013,comment_144300,Seems like a buzzword trend. Will these innovations actually deliver results or just hype?,0.1,skeptic101,22,0,2025-05-24T18:30:08.893026
66,fa_camp_0014,comment_717721,Exciting times for South African businesses! AI can really transform our marketing strategies!,0.9,user1,1,1,2025-05-17T09:58:24.187945
67,fa_camp_0014,comment_164682,"I can see the potential, but is AI really suitable for all industries?",0.2,user2,10,0,2025-05-19T10:26:12.645628
68,fa_camp_0014,comment_717701,"AI is great, but I worry about the cost involved for small businesses.",-0.5,user3,11,0,2025-05-17T11:56:56.535936
69,fa_camp_0014,comment_263325,Harnessing AI for marketing could really give us a competitive edge in SA!,0.85,user4,13,0,2025-05-18T02:49:12.904586
70,fa_camp_0014,comment_853734,Interesting concept. Looking forward to seeing real-world results before fully committing.,0.3,user5,8,0,2025-06-13T09:44:18.118932
71,fa_camp_0015,comment_966954,Excited to see how AI can revolutionize our marketing strategies!,0.9,marketer01,13,0,2025-05-23T21:55:35.176885
72,fa_camp_0015,comment_847758,AI technology is definitely the way forward for businesses in South Africa!,0.85,bizguru,31,0,2025-05-18T10:48:17.349776
73,fa_camp_0015,comment_313664,"Interesting concept, I wonder how it will work in practice.",0.0,curiousmind,26,0,2025-06-06T13:39:27.156029
74,fa_camp_0015,comment_818794,Not convinced that AI can replace human creativity in marketing.,-0.5,realist,13,1,2025-06-06T02:58:59.279225
75,fa_camp_0015,comment_792830,Let's hope this doesn't lead to job losses in the industry.,-0.3,concernedcitizen,2,0,2025-05-27T10:25:36.422656
76,fa_camp_0016,comment_768524,Excited to see how AI can transform retail in SA! Can't wait for the live stream!,0.9,safa_i_lover,6,1,2025-05-26T17:59:09.856109
77,fa_camp_0016,comment_425157,This sounds interesting! Looking forward to learning about AI in retail.,0.7,curious_jo,22,0,2025-06-06T01:49:07.525698
78,fa_camp_0016,comment_251756,"AI is fascinating, but will it really help small businesses?",0.0,skeptical_sam,12,0,2025-06-11T15:27:51.725241
79,fa_camp_0016,comment_674751,Not sure how AI will fit into our local market. Hope this clarifies.,-0.2,realist_andi,7,0,2025-06-11T07:59:26.512107
80,fa_camp_0016,comment_872008,"AI in retail? It sounds cool, but what about actual implementation challenges?",-0.5,doubting_thomas,8,0,2025-06-12T15:03:27.572974
81,fa_camp_0017,comment_210196,It's amazing to see local brands using AI to improve our shopping experience! Can't wait to try it out.,0.9,happyshopper,17,0,2025-05-17T05:11:01.609694
82,fa_camp_0017,comment_371017,Interesting approach! I wonder how it will affect prices and customer service.,0.0,curiousconsumer,48,3,2025-06-13T16:39:52.708990
83,fa_camp_0017,comment_164282,"AI marketing is definitely the future, hope it benefits small businesses too.",0.7,supportlocal,31,0,2025-05-23T11:55:41.552058
84,fa_camp_0017,comment_544429,Not sure how I feel about AI taking over marketing. Hope it doesn't lose the personal touch.,-0.3,traditionalist,10,0,2025-06-13T05:50:25.029614
85,fa_camp_0017,comment_874928,I’ve noticed some brands getting it wrong with AI. Sometimes it just feels too robotic.,-0.5,skepticalbuyer,50,0,2025-06-13T19:05:39.789511
86,fa_camp_0018,comment_605857,Can't wait to learn about AI strategies that are actually working in South Africa! This is going to be informative.,0.9,user456,61,0,2025-05-20T12:32:15.340590
87,fa_camp_0018,comment_166963,Interesting topic! I'm looking forward to gaining some insights from this live stream.,0.7,user789,63,0,2025-06-13T13:28:46.053099
88,fa_camp_0018,comment_747209,"AI in marketing is still new to me, so I'm curious to see what you have to share.",0.5,user101,45,0,2025-05-23T11:40:47.126666
89,fa_camp_0018,comment_575169,I don't think AI can truly capture the South African market nuances. Feels like a stretch.,-0.5,user202,68,1,2025-06-10T14:17:43.095124
90,fa_camp_0018,comment_290969,I hope you discuss the ethical implications too. It's crucial for our market!,0.6,user303,27,0,2025-06-06T10:40:52.658275
91,fa_camp_0019,comment_727241,Excited to see how AI is transforming financial services! Can't wait for the live stream!,0.9,fintechfan,2,0,2025-06-08T21:57:33.368636
92,fa_camp_0019,comment_918897,"This sounds interesting, but I hope they cover the challenges too.",0.5,curiousmind,3,0,2025-05-22T11:18:39.770009
93,fa_camp_0019,comment_864290,I've heard mixed things about AI in finance. Looking forward to learning more.,0.3,neutralobserver,2,0,2025-06-12T04:28:39.450469
94,fa_camp_0019,comment_615266,AI might not be the solution for everyone in finance. We need more transparency!,-0.6,skepticaluser,6,0,2025-05-24T20:33:27.681905
95,fa_camp_0019,comment_271989,I love how technology is evolving in South Africa! This is a great initiative.,0.85,techenthusiast,2,0,2025-05-25T20:00:36.074198
96,fa_camp_0020,comment_853881,So excited to hear these amazing stories! Small businesses are the backbone of our economy!,0.9,happy_soul,55,2,2025-05-21T12:00:31.969799
97,fa_camp_0020,comment_339423,Looking forward to this! Can't wait to learn how these entrepreneurs overcame challenges.,0.8,curious_cat,25,0,2025-06-12T00:04:32.843203
98,fa_camp_0020,comment_281403,"This sounds interesting, but I hope it's not just a sales pitch.",0.0,neutral_view,41,1,2025-06-06T05:53:47.190784
99,fa_camp_0020,comment_721530,"Inspirational stories are great, but what about the struggles? That's what we need to hear!",0.2,realist_2023,46,0,2025-05-31T07:33:05.708968
100,fa_camp_0020,comment_337610,I don't think small businesses are as impactful as they're made out to be. Let's be realistic.,-0.6,skeptic123,40,0,2025-06-05T23:34:38.079861
101,fa_camp_0021,comment_854913,This sounds amazing! Excited to see how AI can transform our businesses.,0.9,user1,20,0,2025-06-07T07:33:32.786855
102,fa_camp_0021,comment_213418,I’m curious about the practical applications of AI in local businesses. Looking forward to the stream.,0.5,user2,13,3,2025-06-04T23:15:29.046933
103,fa_camp_0021,comment_612124,Can’t wait! AI has so much potential for growth in South Africa.,0.85,user3,22,1,2025-06-15T03:33:35.954459
104,fa_camp_0021,comment_407955,I hope this doesn't just turn into a sales pitch. Would appreciate real examples.,-0.2,user4,11,0,2025-05-31T22:16:26.417693
105,fa_camp_0021,comment_991991,"Interesting topic, but I wonder if it will be relevant for smaller businesses too.",0.3,user5,28,1,2025-05-26T21:15:42.124959
106,fa_camp_0022,comment_639403,This is exactly what we need to boost our businesses! Can't wait to learn more about AI!,0.9,entrepreneurSA,50,0,2025-06-08T07:56:28.182673
107,fa_camp_0022,comment_409043,Interesting concept. Would love to see how AI can integrate with our local markets.,0.5,curious_citizen,29,0,2025-06-10T23:09:58.811260
108,fa_camp_0022,comment_197805,"Sounds useful, but not sure if AI is the right fit for every entrepreneur out there.",0.2,skeptical_user,60,0,2025-06-02T22:58:06.116552
109,fa_camp_0022,comment_780836,"Excited to see how AI can help us grow! Join us, fellow entrepreneurs!",0.85,growthmindset,17,0,2025-05-30T03:50:24.950244
110,fa_camp_0022,comment_819703,I don't think AI will solve our real issues as entrepreneurs in SA.,-0.6,realist_voice,4,0,2025-05-28T19:54:00.476210
111,fa_camp_0023,comment_528110,Excited to learn how AI can transform my marketing strategy!,0.9,marketingMaven,17,0,2025-06-10T06:39:35.912335
112,fa_camp_0023,comment_814070,"This sounds interesting, but I'm not sure how it applies to my business.",0.0,curiousJoe,25,3,2025-06-02T08:51:08.113719
113,fa_camp_0023,comment_120914,"I hope you cover practical examples, not just theory!",0.4,businessBabe,14,0,2025-06-01T22:47:24.862262
114,fa_camp_0023,comment_997059,AI is overrated. I prefer traditional marketing methods.,-0.6,oldSchoolMarketer,11,0,2025-05-18T19:12:57.786358
115,fa_camp_0023,comment_713557,Looking forward to the insights! AI is the future of marketing.,0.8,futureThinker,37,0,2025-06-08T07:34:19.413939
116,fa_camp_0024,comment_286626,I'm excited to see how AI can revolutionize our marketing approach!,0.9,user234,27,3,2025-05-25T16:25:01.298193
117,fa_camp_0024,comment_531690,Looking forward to the live stream. Hope it’s insightful!,0.6,user345,50,0,2025-05-17T04:21:15.859673
118,fa_camp_0024,comment_226215,"AI sounds interesting, but are these strategies really practical for small businesses?",0.2,user456,66,0,2025-05-17T09:43:37.541112
119,fa_camp_0024,comment_182683,I don't think AI is the answer to marketing problems. Personal touch is more important.,-0.5,user567,70,0,2025-05-27T21:22:24.427679
120,fa_camp_0024,comment_865095,This could be a game changer! Count me in for the live stream.,0.85,user678,58,0,2025-06-14T19:12:02.849984
121,fa_camp_0025,comment_680254,Excited to see how AI can transform our marketing strategies! Count me in for the live stream!,0.9,userA,59,3,2025-06-06T00:35:31.922194
122,fa_camp_0025,comment_382152,"Interesting topic, but how does it really apply to small businesses?",0.2,curiousMarketer,17,0,2025-05-18T23:25:27.288440
123,fa_camp_0025,comment_951649,I'm skeptical about AI's effectiveness in marketing. Hope this event proves me wrong!,-0.4,doubter123,50,1,2025-06-15T02:37:24.300284
124,fa_camp_0025,comment_145136,Looking forward to learning more about data-driven marketing! AI is the future!,0.85,dataDiva,49,0,2025-06-14T08:02:27.179492
125,fa_camp_0025,comment_714662,"I guess data-driven marketing is important, but it sounds a bit complicated.",0.1,neutralObserver,20,0,2025-06-03T16:49:13.778097
126,fa_camp_0026,comment_920646,This sounds like an amazing opportunity for local businesses to grow!,0.9,sally88,9,0,2025-05-31T12:06:06.579265
127,fa_camp_0026,comment_795514,"Interesting concept, but will it really work for small businesses?",0.0,curious_user,42,0,2025-06-02T15:37:01.001708
128,fa_camp_0026,comment_262794,AI is the future! Can't wait to see how this evolves in South Africa.,0.85,techlover,39,0,2025-06-08T01:43:54.783330
129,fa_camp_0026,comment_631390,"Not sure if AI can be trusted for lead generation, I have my doubts.",-0.5,skeptical_one,29,3,2025-05-22T15:16:13.221933
130,fa_camp_0026,comment_503857,"I like the idea, but implementation could be a challenge for many.",0.3,realist90,35,0,2025-05-19T12:33:26.166454
131,fa_camp_0027,comment_366146,Great AI solution! Can't wait to see how it transforms our lead generation!,0.9,user123,2,0,2025-05-31T14:48:53.691420
132,fa_camp_0027,comment_830263,Intriguing technology! Would love to learn more about its features and benefits.,0.6,curiousCat,20,0,2025-05-27T01:31:28.876220
133,fa_camp_0027,comment_995911,"Looks interesting, but I wonder how it compares to traditional methods.",0.0,neutralObserver,5,0,2025-06-13T14:17:10.258212
134,fa_camp_0027,comment_791679,AI might not be the answer for every business. Let's see how this works in practice.,-0.4,skepticalSam,7,0,2025-06-13T16:18:51.071410
135,fa_camp_0027,comment_242555,I’ve tried other AI solutions and they were disappointing. Hope this is different!,-0.5,disappointedDude,7,0,2025-05-17T23:40:26.933932
136,fa_camp_0028,comment_674997,This AI-driven approach could really transform the way we generate leads in South Africa!,0.9,techlover,25,0,2025-06-15T03:40:33.274040
137,fa_camp_0028,comment_779268,"Interesting concept, but how does this work for small businesses?",0.0,curiousmind,45,0,2025-06-06T13:15:48.437805
138,fa_camp_0028,comment_781458,I’m skeptical about AI. Can it really replace personal touch in lead generation?,-0.6,doubter99,3,0,2025-05-30T04:26:32.883834
139,fa_camp_0028,comment_728118,"Finally, a solution that understands the South African market! Excited to try it out.",0.85,futurepreneur,8,0,2025-06-13T22:09:55.782836
140,fa_camp_0028,comment_772925,I’ve seen similar tools before; hope this one delivers results!,0.2,watchfuleye,21,0,2025-05-22T08:02:57.580375
141,fa_camp_0029,comment_501351,Just implemented these techniques and already seeing an increase in leads! Highly recommend.,0.9,happy_customer,26,1,2025-05-26T16:53:16.741714
142,fa_camp_0029,comment_871924,"Interesting approach, but I wonder how it compares to traditional methods.",0.0,curious_mind,39,0,2025-05-18T12:49:40.860124
143,fa_camp_0029,comment_745548,"This sounds promising, but I'm skeptical about relying too much on AI.",-0.3,doubting_thomas,28,0,2025-06-04T10:18:45.475315
144,fa_camp_0029,comment_552618,AI-driven lead generation is the future! Can't wait to try this out.,0.85,tech_enthusiast,20,0,2025-05-18T07:56:18.872200
145,fa_camp_0029,comment_438061,"Seems like a solid idea, but I need more proof of effectiveness.",0.2,pragmatic_viewer,37,0,2025-06-14T01:45:59.258056
146,fa_camp_0030,comment_544027,This AI-driven approach could really help local businesses grow. Excited to see how it evolves!,0.9,smallbizfan,8,1,2025-06-08T01:59:51.736296
147,fa_camp_0030,comment_367280,"Interesting concept, but how will it specifically cater to our unique market needs?",0.0,curious_mind,14,0,2025-05-18T18:44:24.927971
148,fa_camp_0030,comment_647955,"Finally, a solution that understands our challenges! Can't wait to try it out.",0.85,techsavvySA,12,0,2025-05-25T17:03:05.474975
149,fa_camp_0030,comment_172790,Not sure if AI is the answer. We've tried similar tools before with mixed results.,-0.4,skeptical_user,6,0,2025-06-05T06:40:44.507993
150,fa_camp_0030,comment_756593,"Lead generation is important, but we need real results, not just hype. Hope this delivers.",0.2,realisticbiz,5,0,2025-06-15T13:49:15.582432
151,fa_camp_0031,comment_833609,Amazing to see local businesses embracing AI! It’s about time!,0.9,userA,0,0,2025-06-13T00:06:56.744209
152,fa_camp_0031,comment_143222,AI marketing could be a game changer for small businesses!,0.7,userB,1,0,2025-06-14T13:18:15.841845
153,fa_camp_0031,comment_384793,"Interesting approach, but not all businesses will benefit equally.",0.0,userC,1,0,2025-06-08T07:00:29.116625
154,fa_camp_0031,comment_938034,I hope this doesn't replace jobs in our communities.,-0.5,userD,0,0,2025-05-23T04:01:11.070745
155,fa_camp_0031,comment_255425,"Sounds great in theory, but will it actually work for everyone?",-0.2,userE,0,0,2025-06-13T20:54:55.194447
156,fa_camp_0032,comment_207811,So inspiring to see South African entrepreneurs succeeding! Proud of our local talent.,0.9,inspiredSA,62,0,2025-05-27T21:33:32.249389
157,fa_camp_0032,comment_283521,Interesting stories! Would love to hear more about their journeys.,0.5,curious_user,49,0,2025-06-04T09:48:20.931658
158,fa_camp_0032,comment_986124,"I wish they showcased more diverse industries, but it's a good start.",0.2,balanced_view,44,0,2025-06-12T09:09:45.112760
159,fa_camp_0032,comment_655410,These testimonials are so uplifting! Keep sharing these success stories.,0.85,SA_champion,52,2,2025-05-30T20:49:06.499482
160,fa_camp_0032,comment_511097,Not sure if these stories are relatable. Many struggle without support.,-0.6,realist_in_SA,19,0,2025-05-30T18:43:17.653704
161,fa_camp_0033,comment_588127,AI marketing solutions have truly transformed my business. The results are incredible!,0.9,happyCEO,37,0,2025-05-27T13:46:03.704219
162,fa_camp_0033,comment_884161,Interesting insights from local business owners. I might consider trying AI marketing.,0.5,curiousMarketer,47,0,2025-06-15T13:18:27.053698
163,fa_camp_0033,comment_232436,"It sounds great, but I’m still not sure how it fits into my strategy.",0.2,skepticalBiz,55,1,2025-06-04T16:33:51.000754
164,fa_camp_0033,comment_177877,I didn't see much change after implementing AI marketing tools. Disappointed.,-0.5,frustratedOwner,3,2,2025-06-05T07:45:11.291349
165,fa_camp_0033,comment_603862,The future is definitely digital! Excited to see how AI shakes up the market.,0.85,futureThinker,60,0,2025-05-19T21:19:16.582660
166,fa_camp_0034,comment_789848,It's inspiring to see local businesses thriving! These stories motivate us all to keep pushing forward.,0.9,supportlocal,12,0,2025-05-31T03:52:04.010465
167,fa_camp_0034,comment_607246,Interesting to hear these success stories. There’s always something new to learn in the business world.,0.5,curiousmind,16,0,2025-05-29T05:07:51.200946
168,fa_camp_0034,comment_975481,I love seeing our entrepreneurs shine! South Africa has so much potential.,0.85,proudsouthafrican,11,0,2025-06-14T16:00:53.528652
169,fa_camp_0034,comment_102041,"These testimonials are good, but let's not forget about the challenges many small businesses still face.",0.2,realist,53,0,2025-06-14T07:52:53.600330
170,fa_camp_0034,comment_460653,"Not sure how helpful these testimonials are. Every business is unique, and success isn't guaranteed.",-0.3,skeptic123,38,0,2025-05-18T19:53:40.382032
171,fa_camp_0035,comment_542690,Incredible to see how AI is revolutionizing marketing in South Africa! Excited for the future!,0.9,happySA,0,2,2025-06-06T00:10:18.824728
172,fa_camp_0035,comment_929382,"Interesting insights, but I wonder if smaller businesses can afford these AI tools?",0.2,curiousJane,16,0,2025-05-30T21:18:58.262873
173,fa_camp_0035,comment_125580,AI marketing is just a trend. Don't think it will last in South Africa.,-0.5,scepticalSam,10,0,2025-05-31T16:58:19.096617
174,fa_camp_0035,comment_811473,I've seen local brands thrive using AI. It's amazing how far we've come!,0.85,proudCPT,12,0,2025-05-19T04:29:49.920651
175,fa_camp_0035,comment_276243,"AI tools can be helpful, but they're not a magic solution for every business.",0.1,realisticRob,16,0,2025-05-29T22:04:31.770318
176,fa_camp_0036,comment_832788,Excited to see how AI is transforming retail in South Africa! Can't wait for the live stream.,0.9,userA,47,0,2025-05-18T05:40:36.835853
177,fa_camp_0036,comment_907877,Interesting topic! I hope to learn something new about AI in retail.,0.5,userB,42,0,2025-05-18T14:24:20.377552
178,fa_camp_0036,comment_177660,Not sure how AI will help small retailers like us. Hope it's worth it.,0.1,userC,45,0,2025-06-04T09:30:29.213568
179,fa_camp_0036,comment_841792,AI marketing is overrated. Just another tech buzzword without real results.,-0.6,userD,25,0,2025-05-21T07:35:43.746080
180,fa_camp_0036,comment_185469,"Looking forward to this! AI has potential, but we need to see real examples.",0.7,userE,54,0,2025-06-04T08:27:24.564411
181,fa_camp_0037,comment_404003,Excited to see how AI can boost tourism! Let's embrace this tech for a brighter future in South Africa!,0.9,travelsZA,44,0,2025-06-06T15:54:00.295851
182,fa_camp_0037,comment_510736,Interesting topic! Looking forward to learning about AI's role in reshaping our tourism experience.,0.6,infoSeeker,7,0,2025-05-22T00:24:51.819474
183,fa_camp_0037,comment_834819,"AI marketing sounds intriguing, but can it really replace the human touch in tourism?",0.0,curiousMind,38,0,2025-05-21T08:57:38.622692
184,fa_camp_0037,comment_416677,"This is just another trend that will fade away. Our tourism needs real experiences, not tech fads.",-0.5,scepticSouth,67,0,2025-05-26T01:41:02.078681
185,fa_camp_0037,comment_309652,I hope this AI integration leads to better service and more personalized experiences for travelers!,0.7,happyExplorer,64,0,2025-06-07T10:10:28.991988
186,fa_camp_0038,comment_897614,Excited to see how small businesses are innovating with AI! Can't wait for the live stream!,0.9,happycamper,60,1,2025-05-30T01:59:33.895712
187,fa_camp_0038,comment_711575,This sounds interesting! Will there be a replay for those who can't join live?,0.5,curiousviewer,60,0,2025-06-06T20:44:35.323966
188,fa_camp_0038,comment_329450,AI is overrated. Small businesses should focus on customer service instead.,-0.6,skepticalbob,91,0,2025-05-16T22:37:51.388469
189,fa_camp_0038,comment_399683,Looking forward to learning more about AI in our local businesses. Let's support them!,0.85,supportlocal,32,0,2025-05-23T11:09:19.851018
190,fa_camp_0038,comment_443765,"Not sure if AI is the right fit for every small business, but I'm open to learning more!",0.2,neutralnancy,5,1,2025-06-10T01:33:01.943269
